num_ano_gravacao,num_mes_gravacao,munipio_armazem_venda,uf,qtd_produto_kg,valor_comercializado,numero_atendimentos,clientes_atendidos
2021,2,JOÃO PESSOA                                       ,PB,183280,240096.8,141,67
2021,2,MONTEIRO                                          ,PB,101940,133541.4000000001,112,77
2021,2,PATOS                                             ,PB,74880,98092.8,49,33
2021,2,ARCOVERDE                                         ,PE,296175,364850.8920000001,96,65
2021,2,PETROLINA                                         ,PE,33620,41270.32,10,8
2021,2,RECIFE                                            ,PE,290921,357397.1879999999,148,88
2021,2,CAMPO MAIOR                                       ,PI,76477,97890.56,51,42
2021,2,FLORIANO                                          ,PI,127028,162616.7799999999,286,172
2021,2,PARNAÍBA                                          ,PI,326497,418083.68,264,181
2021,2,PICOS                                             ,PI,47250,60480.0,64,52
2021,2,TERESINA                                          ,PI,515539,660602.5779999995,596,416
2021,2,AÇU                                               ,RN,316698,402206.4600000002,237,166
2021,2,CAICÓ                                             ,RN,611510,776617.7000000001,233,169
2021,2,CURRAIS NOVOS                                     ,RN,512520,650900.3964,217,166
2021,2,MOSSORÓ                                           ,RN,279600,355091.9999999999,170,115
2021,2,NATAL                                             ,RN,646524,821085.4799999996,421,256
2021,2,UMARIZAL                                          ,RN,102536,130220.72,42,36
2021,2,CACOAL                                            ,RO,61508,83348.6,77,60
2021,2,PORTO VELHO                                       ,RO,52559,74159.5221,139,101
2021,2,BOA VISTA                                         ,RR,254650,296162.5,350,247
2021,2,CRUZEIRO DO SUL                                   ,RS,238385,343274.3999999999,101,97
2021,2,ERECHIM                                           ,RS,154880,207772.2,24,23
2021,2,MARAU                                             ,RS,287180,393811.8,50,49
2021,2,SANTA ROSA                                        ,RS,68210,93538.3,37,37
2021,2,CAMPOS NOVOS                                      ,SC,36770,52581.1,7,5
2021,2,BERNARDINO DE CAMPOS                              ,SP,9737,13118.53,27,19
2021,3,RIO BRANCO                                        ,AC,114350,170255.4000000001,308,217
2021,3,MACEIÓ                                            ,AL,261524,309746.4,194,98
2021,3,PALMEIRA DOS ÍNDIOS                               ,AL,197460,233992.8,100,74
2021,3,MANAUS                                            ,AM,51450,84201.5,42,32
2021,3,IRECÊ                                             ,BA,2520,3060.0,2,1
2021,3,ITABERABA                                         ,BA,204600,248817.6,126,107
2021,3,RIBEIRA DO POMBAL                                 ,BA,39660,48254.4,13,12
2021,3,CRATEÚS                                           ,CE,110160,139903.2,54,40
2021,3,IGUATU                                            ,CE,319424,405668.4799999999,162,112
2021,3,JUAZEIRO DO NORTE                                 ,CE,127380,161772.6,110,66
2021,3,MARACANAÚ                                         ,CE,543822,690653.9400000001,164,116
2021,3,RUSSAS                                            ,CE,258350,328104.5,92,91
2021,3,SOBRAL                                            ,CE,180360,229057.2,114,52
2021,3,TAUÁ                                              ,CE,85445,108515.15,97,40
2021,3,BRASÍLIA                                          ,DF,348720,446010.5160000003,479,394
2021,3,CACHOEIRO DE ITAPEMIRIM                           ,ES,166560,236503.1999999999,123,103
2021,3,COLATINA                                          ,ES,252120,357290.3999999999,213,187
2021,3,GOIÂNIA                                           ,GO,80558,102308.66,90,54
2021,3,PONTALINA                                         ,GO,73241,93016.07,17,14
2021,3,SÃO LUÍS DE MONTES BELOS                          ,GO,134810,176411.6,117,87
2021,3,IMPERATRIZ                                        ,MA,96670,130004.5,101,76
2021,3,SÃO LUÍS                                          ,MA,124073,174399.06,153,110
2021,3,MONTES CLAROS                                     ,MG,8768,13579.1648,11,7
2021,3,CAMPINA GRANDE                                    ,PB,452881,590512.26,277,198
2021,3,JOÃO PESSOA                                       ,PB,247200,322418.4,180,81
2021,3,MONTEIRO                                          ,PB,95940,125254.8,127,78
2021,3,PATOS                                             ,PB,112680,146847.0,57,36
2021,3,ARCOVERDE                                         ,PE,312473,376238.38,78,60
2021,3,PETROLINA                                         ,PE,66927,81763.966,26,21
2021,3,RECIFE                                            ,PE,391994,482845.864,169,102
2021,3,FLORIANO                                          ,PI,147827,182684.0619999999,328,179
2021,3,PARNAÍBA                                          ,PI,196834,240137.48,160,145
2021,3,PICOS                                             ,PI,84932,104861.2,111,81
2021,3,TERESINA                                          ,PI,710713,878921.8260000006,719,462
2021,3,AÇU                                               ,RN,296400,375368.34,239,152
2021,3,CAICÓ                                             ,RN,68110,86022.93,63,61
2021,3,CURRAIS NOVOS                                     ,RN,169426,213985.0426,89,79
2021,3,MOSSORÓ                                           ,RN,231720,293376.3600000001,184,112
2021,3,NATAL                                             ,RN,326276,412545.1229999996,209,137
2021,3,CACOAL                                            ,RO,53674,72941.166,70,59
2021,3,PORTO VELHO                                       ,RO,51723,72311.787,147,108
2021,3,BOA VISTA                                         ,RR,121150,164321.5,231,186
2021,3,CRUZEIRO DO SUL                                   ,RS,160710,231422.4,83,82
2021,3,ERECHIM                                           ,RS,46220,63783.6,8,8
2021,3,MARAU                                             ,RS,331850,457952.9999999999,62,62
2021,3,SANTA ROSA                                        ,RS,29850,41491.5,22,22
2021,3,CAMPOS NOVOS                                      ,SC,51700,74731.0,9,6
2021,3,ITABAIANA                                         ,SE,44400,53280.0,9,7
2021,3,BERNARDINO DE CAMPOS                              ,SP,9377,12642.8,27,18
2021,4,RIO BRANCO                                        ,AC,71100,109962.6,204,160
2021,4,MACEIÓ                                            ,AL,290678,393167.6400000001,194,100
2021,4,PALMEIRA DOS ÍNDIOS                               ,AL,178140,241033.2,93,73
2021,4,MANAUS                                            ,AM,14450,23946.5,26,23
2021,4,IRECÊ                                             ,BA,900,1215.0,1,1
2021,4,ITABERABA                                         ,BA,188920,246796.0,134,115
2021,4,RIBEIRA DO POMBAL                                 ,BA,75762,99311.7,30,27
2021,4,CRATEÚS                                           ,CE,390437,531376.5999999999,139,101
2021,4,IGUATU                                            ,CE,465301,632504.6000000001,229,157
2021,4,JUAZEIRO DO NORTE                                 ,CE,323700,436466.4000000001,157,99
2021,4,MARACANAÚ                                         ,CE,577921,780094.0399999998,195,124
2021,4,MORADA NOVA                                       ,CE,115751,162051.4,31,31
2021,4,RUSSAS                                            ,CE,84982,118974.8,47,46
2021,4,SOBRAL                                            ,CE,256500,347100.0000000001,136,69
2021,4,TAUÁ                                              ,CE,175380,237223.2,122,66
2021,4,BRASÍLIA                                          ,DF,352950,472818.2599999998,494,403
2021,4,CACHOEIRO DE ITAPEMIRIM                           ,ES,98035,148234.7500000001,93,85
2021,4,COLATINA                                          ,ES,202109,302601.5300000001,138,122
2021,4,GOIÂNIA                                           ,GO,102000,140107.2,90,54
2021,4,PONTALINA                                         ,GO,38660,54259.8,10,10
2021,4,SÃO LUÍS DE MONTES BELOS                          ,GO,164040,226375.2,99,73
2021,4,IMPERATRIZ                                        ,MA,61500,86990.0,59,46
2021,4,SÃO LUÍS                                          ,MA,154065,229903.17,173,127
2021,4,MONTES CLAROS                                     ,MG,19072,29696.2752,31,21
2021,4,CAMPINA GRANDE                                    ,PB,691842,947526.0799999998,359,257
2021,4,JOÃO PESSOA                                       ,PB,319746,443789.2399999998,203,99
2021,4,MONTEIRO                                          ,PB,142740,195741.6,157,104
2021,4,PATOS                                             ,PB,202080,278917.2,98,61
2021,4,ARCOVERDE                                         ,PE,377000,515967.9999999999,99,78
2021,4,PETROLINA                                         ,PE,48661,68551.284,29,14
2021,4,RECIFE                                            ,PE,314529,434665.1123000001,138,86
2021,4,FLORIANO                                          ,PI,173839,224920.5299999998,346,222
2021,4,PICOS                                             ,PI,179430,230642.0999999999,168,127
2021,4,TERESINA                                          ,PI,984221,1272194.6860000005,820,549
2021,4,AÇU                                               ,RN,490680,655567.2000000001,262,198
2021,4,CAICÓ                                             ,RN,104640,142310.4,70,70
2021,4,CURRAIS NOVOS                                     ,RN,296592,403365.1199999999,130,121
2021,4,MOSSORÓ                                           ,RN,267900,358257.6000000002,190,116
2021,4,NATAL                                             ,RN,94141,128031.76,97,88
2021,4,UMARIZAL                                          ,RN,230460,313425.6000000002,148,140
2021,4,CACOAL                                            ,RO,35955,49587.93,48,40
2021,4,PORTO VELHO                                       ,RO,39851,56519.7521,119,93
2021,4,BOA VISTA                                         ,RR,16300,24630.0,36,32
2021,4,CRUZEIRO DO SUL                                   ,RS,330980,479904.9000000001,101,101
2021,4,ERECHIM                                           ,RS,525810,737849.0,80,77
2021,4,MARAU                                             ,RS,755035,1044190.45,109,107
2021,4,SANTA ROSA                                        ,RS,153950,215044.4999999999,54,54
2021,4,BRAÇO DO NORTE                                    ,SC,67900,105205.0,8,8
2021,4,CAMPOS NOVOS                                      ,SC,334980,500565.72,44,40
2021,4,ITABAIANA                                         ,SE,83340,110008.8,15,15
2021,4,BERNARDINO DE CAMPOS                              ,SP,18148,27198.54,24,19
2021,5,RIO BRANCO                                        ,AC,67643,104170.22,188,151
2021,5,MACEIÓ                                            ,AL,132013,210333.96,120,68
2021,5,PALMEIRA DOS ÍNDIOS                               ,AL,70140,112273.8,56,40
2021,5,MANAUS                                            ,AM,39900,69174.0,23,21
2021,5,IRECÊ                                             ,BA,1200,1656.0,1,1
2021,5,ITABERABA                                         ,BA,156960,228062.4000000001,144,127
2021,5,RIBEIRA DO POMBAL                                 ,BA,61920,87062.4,26,22
2021,5,CRATEÚS                                           ,CE,273596,385997.1200000001,113,81
2021,5,ICÓ                                               ,CE,763453,1075103.2599999998,233,211
2021,5,IGUATU                                            ,CE,111216,157926.72,100,92
2021,5,JUAZEIRO DO NORTE                                 ,CE,356140,500763.9999999999,181,110
2021,5,MARACANAÚ                                         ,CE,588768,828460.7999999997,222,136
2021,5,MORADA NOVA                                       ,CE,344104,485957.6045000001,107,84
2021,5,RUSSAS                                            ,CE,705060,1001185.1999999996,254,244
2021,5,SENADOR POMPEU                                    ,CE,375713,527069.6599999999,168,143
2021,5,SOBRAL                                            ,CE,255240,359605.2,140,75
2021,5,TAUÁ                                              ,CE,143400,201823.2,111,56
2021,5,BRASÍLIA                                          ,DF,326750,486276.5299999994,468,395
2021,5,CACHOEIRO DE ITAPEMIRIM                           ,ES,110460,183900.0,106,93
2021,5,COLATINA                                          ,ES,174315,286005.0,155,133
2021,5,GOIÂNIA                                           ,GO,52334,78857.4,88,60
2021,5,PONTALINA                                         ,GO,57988,85397.06,23,20
2021,5,SÃO LUÍS                                          ,MA,160822,243966.1,167,133
2021,5,MONTES CLAROS                                     ,MG,1290,2650.821,4,4
2021,5,CAMPINA GRANDE                                    ,PB,536790,809067.7800000001,330,225
2021,5,JOÃO PESSOA                                       ,PB,275987,415187.3099999998,171,90
2021,5,MONTEIRO                                          ,PB,126480,190718.4,138,83
2021,5,PATOS                                             ,PB,241200,363398.4,111,70
2021,5,ARCOVERDE                                         ,PE,263560,416928.3724999998,105,71
2021,5,PETROLINA                                         ,PE,14787,22664.4725,15,9
2021,5,RECIFE                                            ,PE,216233,332129.5165,113,73
2021,5,CAMPO MAIOR                                       ,PI,110229,161635.59,64,55
2021,5,FLORIANO                                          ,PI,150208,217216.005,312,183
2021,5,PARNAÍBA                                          ,PI,389966,565391.1600000001,247,203
2021,5,PICOS                                             ,PI,164005,235367.7,173,134
2021,5,TERESINA                                          ,PI,835419,1213674.3513000004,764,503
2021,5,AÇU                                               ,RN,306840,441854.76,208,161
2021,5,CAICÓ                                             ,RN,630000,906009.2399999996,273,187
2021,5,CURRAIS NOVOS                                     ,RN,638880,913463.7738999992,282,225
2021,5,MOSSORÓ                                           ,RN,260880,374982.737,189,102
2021,5,NATAL                                             ,RN,545210,788072.4199999999,452,282
2021,5,UMARIZAL                                          ,RN,311378,446238.8183,195,169
2021,5,CACOAL                                            ,RO,80014,110762.86,84,63
2021,5,PORTO VELHO                                       ,RO,37815,55166.65,118,82
2021,5,BOA VISTA                                         ,RR,70950,109255.0,123,97
2021,5,CRUZEIRO DO SUL                                   ,RS,328805,519139.7500000001,112,112
2021,5,ERECHIM                                           ,RS,30000,45900.0,4,4
2021,5,MARAU                                             ,RS,393240,602328.3999999999,57,56
2021,5,SANTA ROSA                                        ,RS,156700,234940.8,53,53
2021,5,ITABAIANA                                         ,SE,76620,118540.2,12,12
2021,5,BERNARDINO DE CAMPOS                              ,SP,4086,6523.16,15,12
2021,6,RIO BRANCO                                        ,AC,86940,119041.2,229,160
2021,6,MACEIÓ                                            ,AL,172146,273983.22,148,77
2021,6,PALMEIRA DOS ÍNDIOS                               ,AL,72240,114919.8,48,41
2021,6,MANAUS                                            ,AM,81800,142451.5,32,24
2021,6,ITABERABA                                         ,BA,61320,92359.8,78,72
2021,6,RIBEIRA DO POMBAL                                 ,BA,59820,90973.8,28,24
2021,6,CRATEÚS                                           ,CE,329978,482203.7,136,91
2021,6,ICÓ                                               ,CE,50604,73375.8,14,14
2021,6,MARACANAÚ                                         ,CE,601410,876535.4999999995,217,146
2021,6,MORADA NOVA                                       ,CE,40069,58100.05,13,10
2021,6,RUSSAS                                            ,CE,706320,1026643.1999999998,260,234
2021,6,SENADOR POMPEU                                    ,CE,145320,213620.3999999999,60,54
2021,6,SOBRAL                                            ,CE,166680,243496.8,105,47
2021,6,TAUÁ                                              ,CE,131040,190911.5999999999,135,66
2021,6,BRASÍLIA                                          ,DF,220450,341814.9900000002,319,278
2021,6,CACHOEIRO DE ITAPEMIRIM                           ,ES,68034,118716.36,82,74
2021,6,COLATINA                                          ,ES,135067,235626.78,141,117
2021,6,GOIÂNIA                                           ,GO,9430,14239.3,20,19
2021,6,PONTALINA                                         ,GO,17600,26983.8,13,12
2021,6,IMPERATRIZ                                        ,MA,44520,67225.2,51,42
2021,6,SÃO LUÍS                                          ,MA,118013,185280.4099999999,149,108
2021,6,MONTES CLAROS                                     ,MG,430,803.111,2,2
2021,6,CAMPINA GRANDE                                    ,PB,523440,805093.1600000005,344,229
2021,6,JOÃO PESSOA                                       ,PB,178380,274153.4000000001,139,70
2021,6,MONTEIRO                                          ,PB,142920,219706.7999999999,143,81
2021,6,PATOS                                             ,PB,87997,135392.15,49,31
2021,6,ARCOVERDE                                         ,PE,404927,620157.1161000001,143,87
2021,6,PETROLINA                                         ,PE,2104,3136.012,3,2
2021,6,RECIFE                                            ,PE,222606,340919.4875000002,117,74
2021,6,CAMPO MAIOR                                       ,PI,91189,135558.93,45,37
2021,6,FLORIANO                                          ,PI,139112,206598.132,282,175
2021,6,PICOS                                             ,PI,126360,187729.8,165,120
2021,6,TERESINA                                          ,PI,626329,930816.9314999996,711,459
2021,6,AÇU                                               ,RN,256140,398584.8,204,153
2021,6,CAICÓ                                             ,RN,311289,484383.84,135,104
2021,6,CURRAIS NOVOS                                     ,RN,292800,455391.0041999999,167,112
2021,6,MOSSORÓ                                           ,RN,193140,300511.2000000001,163,97
2021,6,NATAL                                             ,RN,526209,818688.1327999997,354,224
