ano_agricola,dsc_safra_previsao,uf,produto,id_produto,area_plantada_mil_ha,producao_mil_t,dsc_situacao_levantamento,producao_acucar_mil_t,producao_etanol_anidro_mil_l,producao_etanol_hidratado_mil_l,producao_etanol_total_mil_l,produtcao_atr_kg_t
2006/07             ,UNICA          ,PE,CANA DE ACUCAR                          ,4238,369.6,18913.5,PREVISAO                                                    ,1433.3,207833.1,130839,338672.1,110.6
2006/07             ,UNICA          ,PI,CANA DE ACUCAR                          ,4238,12.5,821.3,PREVISAO                                                    ,0,39317.8,12625.7,51943.5,110.5
2006/07             ,UNICA          ,PR,CANA DE ACUCAR                          ,4238,436.0,34130.9,PREVISAO                                                    ,2139.9,430701.8,889950.2,1320652,132.2
2006/07             ,UNICA          ,RJ,CANA DE ACUCAR                          ,4238,152.3,6853.5,PREVISAO                                                    ,266.4,30378.9,60783.1,91162,63.6
2006/07             ,UNICA          ,RN,CANA DE ACUCAR                          ,4238,55.2,2888.1,PREVISAO                                                    ,250.4,38052,23223.7,61275.7,127.8
2006/07             ,UNICA          ,RS,CANA DE ACUCAR                          ,4238,34.2,1200.4,PREVISAO                                                    ,0,0,6210.3,6210.3,8.7
2006/07             ,UNICA          ,SC,CANA DE ACUCAR                          ,4238,17.1,669.7,PREVISAO                                                    ,0,0,0,0,0
2006/07             ,UNICA          ,SE,CANA DE ACUCAR                          ,4238,31.1,1626.8,PREVISAO                                                    ,51.3,32021.5,22243.1,54264.6,91
2006/07             ,UNICA          ,SP,CANA DE ACUCAR                          ,4238,3288.2,284825.6,PREVISAO                                                    ,19675.9,5206042.7,5433208.7,10639251.4,137
2006/07             ,UNICA          ,TO,CANA DE ACUCAR                          ,4238,4.5,252.1,PREVISAO                                                    ,0,10112,2638.3,12750.3,88.5
2007/08             ,UNICA          ,AL,CANA DE ACUCAR                          ,4238,426.8,29864.3,PREVISAO                                                    ,2591.8,368451.9,455684.3,824136.2,138.7
2007/08             ,UNICA          ,AM,CANA DE ACUCAR                          ,4238,3.9,314,PREVISAO                                                    ,8.8,157.8,15705.2,15863,114.9
2007/08             ,UNICA          ,BA,CANA DE ACUCAR                          ,4238,37.4,2690,PREVISAO                                                    ,103.9,101206.5,34317.8,135524.3,128.5
2007/08             ,UNICA          ,CE,CANA DE ACUCAR                          ,4238,1.6,111.5,PREVISAO                                                    ,0,148.7,6670.9,6819.6,103.5
2007/08             ,UNICA          ,ES,CANA DE ACUCAR                          ,4238,65.2,4419,PREVISAO                                                    ,85.8,173892,93979.6,267871.6,125.8
2007/08             ,UNICA          ,GO,CANA DE ACUCAR                          ,4238,401.8,29645.2,PREVISAO                                                    ,1022.9,512428.3,654599.8,1167028.1,104.1
2007/08             ,UNICA          ,MA,CANA DE ACUCAR                          ,4238,38.9,2385,PREVISAO                                                    ,14,85814.2,37132,122946.2,96
2007/08             ,UNICA          ,MG,CANA DE ACUCAR                          ,4238,600.7,44120,PREVISAO                                                    ,2089.5,608092.4,1233509.4,1841601.8,121.3
2007/08             ,UNICA          ,MS,CANA DE ACUCAR                          ,4238,275.8,20755,PREVISAO                                                    ,602.7,209824.7,713313.8,923138.5,106.4
2007/08             ,UNICA          ,MT,CANA DE ACUCAR                          ,4238,223.2,16109.9,PREVISAO                                                    ,415.7,405334.5,497079.9,902414.4,123.7
2007/08             ,UNICA          ,PA,CANA DE ACUCAR                          ,4238,11.0,749.6,PREVISAO                                                    ,16.2,33462.4,6294.6,39757,115.7
2007/08             ,UNICA          ,PB,CANA DE ACUCAR                          ,4238,112.5,6117,PREVISAO                                                    ,115.7,193772.4,189812.9,383585.3,128.2
2007/08             ,UNICA          ,PE,CANA DE ACUCAR                          ,4238,316.6,20418.1,PREVISAO                                                    ,1681.1,215907.8,265239.5,481147.3,127
2007/08             ,UNICA          ,PI,CANA DE ACUCAR                          ,4238,13.1,900.9,PREVISAO                                                    ,22.2,23309.4,11649.7,34959.1,93.4
2007/08             ,UNICA          ,PR,CANA DE ACUCAR                          ,4238,509.3,42918.3,PREVISAO                                                    ,2543.9,389634.2,1391253.5,1780887.7,133.1
2007/08             ,UNICA          ,RJ,CANA DE ACUCAR                          ,4238,50.0,3556.3,PREVISAO                                                    ,254.8,28889.3,115743.9,144633.2,144.6
2007/08             ,UNICA          ,RN,CANA DE ACUCAR                          ,4238,55.5,3075,PREVISAO                                                    ,215.7,44087.4,57743.6,101831,130.7
2007/08             ,UNICA          ,RS,CANA DE ACUCAR                          ,4238,2.1,120,PREVISAO                                                    ,0,0,7602.6,7602.6,107.2
2007/08             ,UNICA          ,SE,CANA DE ACUCAR                          ,4238,34.9,2306.2,PREVISAO                                                    ,89.1,34782.1,23094.7,57876.8,84.1
2007/08             ,UNICA          ,SP,CANA DE ACUCAR                          ,4238,3824.2,340510.4,PREVISAO                                                    ,19405.9,5200257.3,8553919,13754176.3,129.3
2007/08             ,UNICA          ,TO,CANA DE ACUCAR                          ,4238,5.7,285,PREVISAO                                                    ,0,10597,2770.8,13367.8,82.1
2008/09             ,UNICA          ,AL,CANA DE ACUCAR                          ,4238,432.0,27400,PREVISAO                                                    ,2204.9,356004.1,495737,851741.1,138
2008/09             ,UNICA          ,AM,CANA DE ACUCAR                          ,4238,3.8,303.5,PREVISAO                                                    ,14.3,293.5,7963,8256.5,95.5
2008/09             ,UNICA          ,BA,CANA DE ACUCAR                          ,4238,37.4,2692.7,PREVISAO                                                    ,121.8,83637.8,48582.5,132220.3,132.8
2008/09             ,UNICA          ,CE,CANA DE ACUCAR                          ,4238,1.8,124,PREVISAO                                                    ,0,377.2,7426.5,7803.7,106.7
2008/09             ,UNICA          ,ES,CANA DE ACUCAR                          ,4238,65.2,4419,PREVISAO                                                    ,109.7,162005.7,119511.3,281517,136.5
2008/09             ,UNICA          ,GO,CANA DE ACUCAR                          ,4238,401.8,29645.2,PREVISAO                                                    ,1103.3,514038.8,1244588.3,1758627.1,140.7
