ano_agricola;safra;uf;produto;id_produto;id_levantamento;dsc_levantamento;area_plantada_mil_ha;producao_mil_t;produtividade_mil_ha_mil_t
2018                ;UNICA          ;MT;CAFE                                    ;7090; 004;4º LEV              ;9265;103;11.1
2018                ;UNICA          ;MT;CAFE                                    ;7498; 004;4º LEV              ;45;1;22.2
2018                ;UNICA          ;NI;CAFE                                    ;7090; 001;1º LEV              ;1697;41;24.2
2018                ;UNICA          ;NI;CAFE                                    ;7498; 001;1º LEV              ;6833;63;9.2
2018                ;UNICA          ;NI;CAFE                                    ;7498; 002;2º LEV              ;5604;52;9.3
2018                ;UNICA          ;NI;CAFE                                    ;7090; 002;2º LEV              ;1697;41;24.2
2018                ;UNICA          ;NI;CAFE                                    ;7498; 003;3º LEV              ;5411;47;8.7
2018                ;UNICA          ;NI;CAFE                                    ;7090; 003;3º LEV              ;1253;32;25.5
2018                ;UNICA          ;NI;CAFE                                    ;7498; 004;4º LEV              ;4511;38;8.4
2018                ;UNICA          ;NI;CAFE                                    ;7090; 004;4º LEV              ;1261;32;25.4
2018                ;UNICA          ;PA;CAFE                                    ;7090; 001;1º LEV              ;474;7;14.8
2018                ;UNICA          ;PA;CAFE                                    ;7090; 002;2º LEV              ;471;7;14.9
2018                ;UNICA          ;PA;CAFE                                    ;7090; 003;3º LEV              ;406;6;14.8
2018                ;UNICA          ;PA;CAFE                                    ;7090; 004;4º LEV              ;406;5;12.3
2018                ;UNICA          ;PR;CAFE                                    ;7498; 001;1º LEV              ;37900;960;25.3
2018                ;UNICA          ;PR;CAFE                                    ;7498; 002;2º LEV              ;37400;1050;28.1
2018                ;UNICA          ;PR;CAFE                                    ;7498; 003;3º LEV              ;37500;1000;26.7
2018                ;UNICA          ;PR;CAFE                                    ;7498; 004;4º LEV              ;37500;1000;26.7
2018                ;UNICA          ;RJ;CAFE                                    ;7498; 001;1º LEV              ;13445;364;27.1
2018                ;UNICA          ;RJ;CAFE                                    ;7498; 002;2º LEV              ;13368;346;25.9
2018                ;UNICA          ;RJ;CAFE                                    ;7498; 003;3º LEV              ;13368;346;25.9
2018                ;UNICA          ;RJ;CAFE                                    ;7498; 004;4º LEV              ;12030;346;28.8
2018                ;UNICA          ;RO;CAFE                                    ;7090; 001;1º LEV              ;74255;2336;31.5
2018                ;UNICA          ;RO;CAFE                                    ;7090; 002;2º LEV              ;71605;2187;30.5
2018                ;UNICA          ;RO;CAFE                                    ;7090; 003;3º LEV              ;63879;1978;31
2018                ;UNICA          ;RO;CAFE                                    ;7090; 004;4º LEV              ;63879;1978;31
2018                ;UNICA          ;SP;CAFE                                    ;7498; 001;1º LEV              ;201400;6004;29.8
2018                ;UNICA          ;SP;CAFE                                    ;7498; 002;2º LEV              ;203444;6075;29.9
2018                ;UNICA          ;SP;CAFE                                    ;7498; 003;3º LEV              ;202581;6233;30.8
2018                ;UNICA          ;SP;CAFE                                    ;7498; 004;4º LEV              ;202581;6302;31.1
2019                ;UNICA          ;BA;CAFE                                    ;7498; 001;1º LEV              ;73800;1174;15.9
2019                ;UNICA          ;BA;CAFE                                    ;7090; 001;1º LEV              ;48700;2386;49
2019                ;UNICA          ;BA;CAFE                                    ;7498; 002;2º LEV              ;75500;1236;16.4
2019                ;UNICA          ;BA;CAFE                                    ;7090; 002;2º LEV              ;46900;1800;38.4
2019                ;UNICA          ;BA;CAFE                                    ;7090; 003;3º LEV              ;37000;1600;43.2
2019                ;UNICA          ;BA;CAFE                                    ;7498; 003;3º LEV              ;60335;1200;19.9
2019                ;UNICA          ;BA;CAFE                                    ;7090; 004;4º LEV              ;37000;1800;48.6
2019                ;UNICA          ;BA;CAFE                                    ;7498; 004;4º LEV              ;60335;1200;19.9
2019                ;UNICA          ;ES;CAFE                                    ;7090; 001;1º LEV              ;241805;10376;42.9
2019                ;UNICA          ;ES;CAFE                                    ;7498; 001;1º LEV              ;152097;3230;21.2
2019                ;UNICA          ;ES;CAFE                                    ;7090; 002;2º LEV              ;241805;9491;39.3
2019                ;UNICA          ;ES;CAFE                                    ;7498; 002;2º LEV              ;152097;3293;21.7
2019                ;UNICA          ;ES;CAFE                                    ;7090; 003;3º LEV              ;241805;10318;42.7
2019                ;UNICA          ;ES;CAFE                                    ;7498; 003;3º LEV              ;152097;3153;20.7
2019                ;UNICA          ;ES;CAFE                                    ;7498; 004;4º LEV              ;152097;3002;19.7
2019                ;UNICA          ;ES;CAFE                                    ;7090; 004;4º LEV              ;241805;10496;43.4
2019                ;UNICA          ;GO;CAFE                                    ;7498; 001;1º LEV              ;7101;271;38.2
2019                ;UNICA          ;GO;CAFE                                    ;7498; 002;2º LEV              ;6565;236;35.9
